publisher_name,publisher_id
Nintendo,1
Microsoft Game Studios,2
Take-Two Interactive,3
Sony Computer Entertainment,4
Activision,5
Ubisoft,6
Bethesda Softworks,7
Electronic Arts,8
Sega,9
SquareSoft,10
Atari,11
505 Games,12
Capcom,13
GT Interactive,14
Konami Digital Entertainment,15
Sony Computer Entertainment Europe,16
Square Enix,17
LucasArts,18
Virgin Interactive,19
Warner Bros. Interactive Entertainment,20
Universal Interactive,21
Eidos Interactive,22
RedOctane,23
Vivendi Games,24
Enix Corporation,25
Namco Bandai Games,26
Palcom,27
Hasbro Interactive,28
THQ,29
Fox Interactive,30
Acclaim Entertainment,31
MTV Games,32
Disney Interactive Studios,33
Majesco Entertainment,34
Codemasters,35
Red Orb,36
Level 5,37
Arena Entertainment,38
Midway Games,39
JVC,40
Deep Silver,41
989 Studios,42
NCSoft,43
UEP Systems,44
Parker Bros.,45
Maxis,46
Imagic,47
Tecmo Koei,48
Valve Software,49
ASCII Entertainment,50
Mindscape,51
Infogrames,52
Unknown,53
Square,54
Valve,55
Activision Value,56
Banpresto,57
D3Publisher,58
Oxygen Interactive,59
Red Storm Entertainment,60
Video System,61
Hello Games,62
Global Star,63
Gotham Games,64
Westwood Studios,65
GungHo,66
Crave Entertainment,67
Hudson Soft,68
Coleco,69
Rising Star Games,70
Atlus,71
TDK Mediactive,72
ASC Games,73
Zoo Games,74
Accolade,75
Sony Online Entertainment,76
3DO,77
RTL,78
Natsume,79
Focus Home Interactive,80
Alchemist,81
Black Label Games,82
SouthPeak Games,83
Mastertronic,84
Ocean,85
Zoo Digital Publishing,86
Psygnosis,87
City Interactive,88
Empire Interactive,89
Success,90
Compile,91
Russel,92
Taito,93
Agetec,94
GSP,95
Microprose,96
Play It,97
Slightly Mad Studios,98
Tomy Corporation,99
Sammy Corporation,100
Koch Media,101
Game Factory,102
Titus,103
Marvelous Entertainment,104
Genki,105
Mojang,106
Pinnacle,107
CTO SpA,108
TalonSoft,109
Crystal Dynamics,110
SCi,111
Quelle,112
"mixi, Inc",113
Rage Software,114
Ubisoft Annecy,115
Scholastic Inc.,116
Interplay,117
Mystique,118
ChunSoft,119
Square EA,120
20th Century Fox Video Games,121
Avanquest Software,122
Hudson Entertainment,123
Nordic Games,124
Men-A-Vision,125
Nobilis,126
Big Ben Interactive,127
Touchstone,128
Spike,129
Jester Interactive,130
Nippon Ichi Software,131
LEGO Media,132
Quest,133
Illusion Softworks,134
Tigervision,135
Funbox Media,136
Rocket Company,137
Metro 3D,138
Mattel Interactive,139
IE Institute,140
Rondomedia,141
Sony Computer Entertainment America,142
Universal Gamex,143
Ghostlight,144
Wizard Video Games,145
BMG Interactive Entertainment,146
PQube,147
Trion Worlds,148
Laguna,149
Ignition Entertainment,150
Takara,151
Kadokawa Shoten,152
Destineer,153
Enterbrain,154
Xseed Games,155
Imagineer,156
System 3 Arcade Software,157
CPG Products,158
Aruze Corp,159
Gamebridge,160
Midas Interactive Entertainment,161
Jaleco,162
Answer Software,163
XS Games,164
Activision Blizzard,165
Pack In Soft,166
Rebellion,167
Xplosiv,168
Ultravision,169
GameMill Entertainment,170
Wanadoo,171
NovaLogic,172
Telltale Games,173
Epoch,174
BAM! Entertainment,175
Knowledge Adventure,176
Mastiff,177
Tetris Online,178
Harmonix Music Systems,179
ESP,180
TYO,181
Telegames,182
Mud Duck Productions,183
Screenlife,184
Pioneer LDC,185
Magical Company,186
Mentor Interactive,187
Kemco,188
Human Entertainment,189
Avanquest,190
Data Age,191
Electronic Arts Victor,192
Black Bean Games,193
Jack of All Games,194
989 Sports,195
Takara Tomy,196
Media Rings,197
Elf,198
Kalypso Media,199
Starfish,200
Zushi Games,201
Jorudan,202
"Destination Software, Inc",203
New,204
Brash Entertainment,205
ITT Family Games,206
PopCap Games,207
Home Entertainment Suppliers,208
Ackkstudios,209
Starpath Corp.,210
P2 Games,211
BPS,212
Gathering of Developers,213
NewKidCo,214
Storm City Games,215
CokeM Interactive,216
CBS Electronics,217
Magix,218
Marvelous Interactive,219
Nihon Falcom Corporation,220
Wargaming.net,221
Angel Studios,222
Arc System Works,223
Playmates,224
SNK Playmore,225
Hamster Corporation,226
From Software,227
Nippon Columbia,228
Nichibutsu,229
Little Orbit,230
Conspiracy Entertainment,231
DTP Entertainment,232
Hect,233
Mumbo Jumbo,234
